"palabra","letras_acertadas","letras_falladas","intentos","tiempo"
"MURCIELAGO","A","A",1,"2024-11-26 16:41:22.24692"
"MURCIELAGO","A","A",2,"2024-11-26 16:41:22.24692"
"MURCIELAGO","AC","AC",3,"2024-11-26 16:41:22.24692"
"MURCIELAGO","AC","AC",4,"2024-11-26 16:41:22.262553"
"MURCIELAGO","ACE","ACE",5,"2024-11-26 16:41:22.262553"
"MURCIELAGO","ACE","ACE",6,"2024-11-26 16:41:22.268566"
"MURCIELAGO","ACEG","ACEG",7,"2024-11-26 16:41:22.268566"
"MURCIELAGO","ACEG","ACEG",8,"2024-11-26 16:41:22.268566"
"MURCIELAGO","ACEGI","ACEGI",9,"2024-11-26 16:41:22.279278"
"MURCIELAGO","ACEGI","ACEGI",10,"2024-11-26 16:41:22.281303"
"MURCIELAGO","ACEGI","ACEGI",11,"2024-11-26 16:41:22.283429"
"MURCIELAGO","ACEGIL","ACEGIL",12,"2024-11-26 16:41:22.286697"
"MURCIELAGO","ACEGILM","ACEGILM",13,"2024-11-26 16:41:22.286697"
"MURCIELAGO","ACEGILM","ACEGILM",14,"2024-11-26 16:41:22.290629"
"MURCIELAGO","ACEGILMO","ACEGILMO",15,"2024-11-26 16:41:22.293237"
"MURCIELAGO","ACEGILMO","ACEGILMO",16,"2024-11-26 16:41:22.294753"
"MURCIELAGO","ACEGILMO","ACEGILMO",17,"2024-11-26 16:41:22.294753"
"MURCIELAGO","ACEGILMOR","ACEGILMOR",18,"2024-11-26 16:41:22.294753"
"MURCIELAGO","ACEGILMOR","ACEGILMOR",19,"2024-11-26 16:41:22.302229"
"MURCIELAGO","ACEGILMOR","ACEGILMOR",20,"2024-11-26 16:41:22.302229"
"VIAJE","A","A",1,"2024-11-26 16:41:22.302229"
"VIAJE","A","A",2,"2024-11-26 16:41:22.311169"
"VIAJE","A","A",3,"2024-11-26 16:41:22.311169"
"VIAJE","A","A",4,"2024-11-26 16:41:22.311169"
"VIAJE","AE","AE",5,"2024-11-26 16:41:22.311169"
"VIAJE","AE","AE",6,"2024-11-26 16:41:22.311169"
"VIAJE","AE","AE",7,"2024-11-26 16:41:22.318679"
"VIAJE","AE","AE",8,"2024-11-26 16:41:22.318679"
"VIAJE","AEI","AEI",9,"2024-11-26 16:41:22.321077"
"VIAJE","AEIJ","AEIJ",10,"2024-11-26 16:41:22.321077"
"VIAJE","AEIJ","AEIJ",11,"2024-11-26 16:41:22.323961"
"VIAJE","AEIJ","AEIJ",12,"2024-11-26 16:41:22.323961"
"VIAJE","AEIJ","AEIJ",13,"2024-11-26 16:41:22.327161"
"VIAJE","AEIJ","AEIJ",14,"2024-11-26 16:41:22.327161"
"VIAJE","AEIJ","AEIJ",15,"2024-11-26 16:41:22.327161"
"VIAJE","AEIJ","AEIJ",16,"2024-11-26 16:41:22.327161"
"VIAJE","AEIJ","AEIJ",17,"2024-11-26 16:41:22.327161"
"VIAJE","AEIJ","AEIJ",18,"2024-11-26 16:41:22.335848"
"VIAJE","AEIJ","AEIJ",19,"2024-11-26 16:41:22.336782"
"VIAJE","AEIJ","AEIJ",20,"2024-11-26 16:41:22.336782"
"VIAJE","AEIJ","AEIJ",21,"2024-11-26 16:41:22.336782"
"EVADIR","A","A",1,"2024-11-26 16:41:22.344013"
"EVADIR","A","A",2,"2024-11-26 16:41:22.344013"
"EVADIR","A","A",3,"2024-11-26 16:41:22.347281"
"EVADIR","AD","AD",4,"2024-11-26 16:41:22.347281"
"EVADIR","ADE","ADE",5,"2024-11-26 16:41:22.351383"
"EVADIR","ADE","ADE",6,"2024-11-26 16:41:22.352395"
"EVADIR","ADE","ADE",7,"2024-11-26 16:41:22.352395"
"EVADIR","ADE","ADE",8,"2024-11-26 16:41:22.352395"
"EVADIR","ADEI","ADEI",9,"2024-11-26 16:41:22.36075"
"EVADIR","ADEI","ADEI",10,"2024-11-26 16:41:22.361627"
"EVADIR","ADEI","ADEI",11,"2024-11-26 16:41:22.361627"
"EVADIR","ADEI","ADEI",12,"2024-11-26 16:41:22.361627"
"EVADIR","ADEI","ADEI",13,"2024-11-26 16:41:22.368102"
"EVADIR","ADEI","ADEI",14,"2024-11-26 16:41:22.369142"
"EVADIR","ADEI","ADEI",15,"2024-11-26 16:41:22.369142"
"EVADIR","ADEI","ADEI",16,"2024-11-26 16:41:22.369142"
"EVADIR","ADEI","ADEI",17,"2024-11-26 16:41:22.369142"
"EVADIR","ADEIR","ADEIR",18,"2024-11-26 16:41:22.377325"
"EVADIR","ADEIR","ADEIR",19,"2024-11-26 16:41:22.377835"
"EVADIR","ADEIR","ADEIR",20,"2024-11-26 16:41:22.377835"
"EVADIR","ADEIR","ADEIR",21,"2024-11-26 16:41:22.377835"
"ZAPATO","A","A",1,"2024-11-26 16:41:22.385051"
"ZAPATO","A","A",2,"2024-11-26 16:41:22.386286"
"ZAPATO","A","A",3,"2024-11-26 16:41:22.386286"
"ZAPATO","A","A",4,"2024-11-26 16:41:22.386286"
"ZAPATO","A","A",5,"2024-11-26 16:41:22.393815"
"ZAPATO","A","A",6,"2024-11-26 16:41:22.393815"
"ZAPATO","A","A",7,"2024-11-26 16:41:22.393815"
"ZAPATO","A","A",8,"2024-11-26 16:41:22.393815"
"ZAPATO","A","A",9,"2024-11-26 16:41:22.401836"
"ZAPATO","A","A",10,"2024-11-26 16:41:22.402461"
"ZAPATO","A","A",11,"2024-11-26 16:41:22.403549"
"ZAPATO","A","A",12,"2024-11-26 16:41:22.403549"
"ZAPATO","A","A",13,"2024-11-26 16:41:22.403549"
"ZAPATO","A","A",14,"2024-11-26 16:41:22.410626"
"ZAPATO","AO","AO",15,"2024-11-26 16:41:22.410626"
"ZAPATO","AOP","AOP",16,"2024-11-26 16:41:22.410626"
"ZAPATO","AOP","AOP",17,"2024-11-26 16:41:22.410626"
"ZAPATO","AOP","AOP",18,"2024-11-26 16:41:22.417473"
"ZAPATO","AOP","AOP",19,"2024-11-26 16:41:22.417473"
"ZAPATO","AOPT","AOPT",20,"2024-11-26 16:41:22.417473"
"ZAPATO","AOPT","AOPT",21,"2024-11-26 16:41:22.417473"
"ZAPATO","AOPT","AOPT",22,"2024-11-26 16:41:22.42228"
"ZAPATO","AOPT","AOPT",23,"2024-11-26 16:41:22.42228"
"ZAPATO","AOPT","AOPT",24,"2024-11-26 16:41:22.42228"
"ZAPATO","AOPT","AOPT",25,"2024-11-26 16:41:22.42228"
"CIELO","","",1,"2024-11-26 16:41:22.42228"
"CIELO","","",2,"2024-11-26 16:41:22.42228"
"CIELO","C","C",3,"2024-11-26 16:41:22.430289"
"CIELO","C","C",4,"2024-11-26 16:41:22.430289"
"CIELO","CE","CE",5,"2024-11-26 16:41:22.430289"
"CIELO","CE","CE",6,"2024-11-26 16:41:22.43307"
"CIELO","CE","CE",7,"2024-11-26 16:41:22.435404"
"CIELO","CE","CE",8,"2024-11-26 16:41:22.435404"
"CIELO","CEI","CEI",9,"2024-11-26 16:41:22.435404"
"CIELO","CEI","CEI",10,"2024-11-26 16:41:22.435404"
"CIELO","CEI","CEI",11,"2024-11-26 16:41:22.439487"
"CIELO","CEIL","CEIL",12,"2024-11-26 16:41:22.439487"
"CIELO","CEIL","CEIL",13,"2024-11-26 16:41:22.439487"
"CIELO","CEIL","CEIL",14,"2024-11-26 16:41:22.439487"
"RECREO","","",1,"2024-11-26 16:41:22.443763"
"RECREO","","",2,"2024-11-26 16:41:22.443763"
"RECREO","C","C",3,"2024-11-26 16:41:22.443763"
"RECREO","C","C",4,"2024-11-26 16:41:22.443763"
"RECREO","CE","CE",5,"2024-11-26 16:41:22.447806"
"RECREO","CE","CE",6,"2024-11-26 16:41:22.447806"
"RECREO","CE","CE",7,"2024-11-26 16:41:22.44988"
"RECREO","CE","CE",8,"2024-11-26 16:41:22.450875"
"RECREO","CE","CE",9,"2024-11-26 16:41:22.450875"
"RECREO","CE","CE",10,"2024-11-26 16:41:22.450875"
"RECREO","CE","CE",11,"2024-11-26 16:41:22.450875"
"RECREO","CE","CE",12,"2024-11-26 16:41:22.450875"
"RECREO","CE","CE",13,"2024-11-26 16:41:22.450875"
"RECREO","CE","CE",14,"2024-11-26 16:41:22.455946"
"RECREO","CEO","CEO",15,"2024-11-26 16:41:22.457232"
"RECREO","CEO","CEO",16,"2024-11-26 16:41:22.457232"
"RECREO","CEO","CEO",17,"2024-11-26 16:41:22.457232"
"PIZARRA","A","A",1,"2024-11-26 16:41:22.457232"
"PIZARRA","A","A",2,"2024-11-26 16:41:22.457232"
"PIZARRA","A","A",3,"2024-11-26 16:41:22.457232"
"PIZARRA","A","A",4,"2024-11-26 16:41:22.457232"
"PIZARRA","A","A",5,"2024-11-26 16:41:22.457232"
"PIZARRA","A","A",6,"2024-11-26 16:41:22.464241"
"PIZARRA","A","A",7,"2024-11-26 16:41:22.464241"
"PIZARRA","A","A",8,"2024-11-26 16:41:22.466235"
"PIZARRA","AI","AI",9,"2024-11-26 16:41:22.468038"
"PIZARRA","AI","AI",10,"2024-11-26 16:41:22.469359"
"PIZARRA","AI","AI",11,"2024-11-26 16:41:22.469359"
"PIZARRA","AI","AI",12,"2024-11-26 16:41:22.47242"
"PIZARRA","AI","AI",13,"2024-11-26 16:41:22.47242"
"PIZARRA","AI","AI",14,"2024-11-26 16:41:22.47242"
"PIZARRA","AI","AI",15,"2024-11-26 16:41:22.47242"
"PIZARRA","AIP","AIP",16,"2024-11-26 16:41:22.47242"
"PIZARRA","AIP","AIP",17,"2024-11-26 16:41:22.47242"
"PIZARRA","AIPR","AIPR",18,"2024-11-26 16:41:22.480428"
"PIZARRA","AIPR","AIPR",19,"2024-11-26 16:41:22.481525"
"PIZARRA","AIPR","AIPR",20,"2024-11-26 16:41:22.481525"
"PIZARRA","AIPR","AIPR",21,"2024-11-26 16:41:22.484212"
"PIZARRA","AIPR","AIPR",22,"2024-11-26 16:41:22.485109"
"PIZARRA","AIPR","AIPR",23,"2024-11-26 16:41:22.485109"
"PIZARRA","AIPR","AIPR",24,"2024-11-26 16:41:22.485109"
"PIZARRA","AIPR","AIPR",25,"2024-11-26 16:41:22.488615"
"MATEMATICAS","A","A",1,"2024-11-26 16:41:22.488615"
"MATEMATICAS","A","A",2,"2024-11-26 16:41:22.491465"
"MATEMATICAS","AC","AC",3,"2024-11-26 16:41:22.491465"
"MATEMATICAS","AC","AC",4,"2024-11-26 16:41:22.491465"
"MATEMATICAS","ACE","ACE",5,"2024-11-26 16:41:22.491465"
"MATEMATICAS","ACE","ACE",6,"2024-11-26 16:41:22.496998"
"MATEMATICAS","ACE","ACE",7,"2024-11-26 16:41:22.496998"
"MATEMATICAS","ACE","ACE",8,"2024-11-26 16:41:22.496998"
"MATEMATICAS","ACEI","ACEI",9,"2024-11-26 16:41:22.500983"
"MATEMATICAS","ACEI","ACEI",10,"2024-11-26 16:41:22.500983"
"MATEMATICAS","ACEI","ACEI",11,"2024-11-26 16:41:22.500983"
"MATEMATICAS","ACEI","ACEI",12,"2024-11-26 16:41:22.505489"
"MATEMATICAS","ACEIM","ACEIM",13,"2024-11-26 16:41:22.505489"
"MATEMATICAS","ACEIM","ACEIM",14,"2024-11-26 16:41:22.507803"
"MATEMATICAS","ACEIM","ACEIM",15,"2024-11-26 16:41:22.50972"
"MATEMATICAS","ACEIM","ACEIM",16,"2024-11-26 16:41:22.50972"
"MATEMATICAS","ACEIM","ACEIM",17,"2024-11-26 16:41:22.50972"
"MATEMATICAS","ACEIM","ACEIM",18,"2024-11-26 16:41:22.50972"
"MATEMATICAS","ACEIMS","ACEIMS",19,"2024-11-26 16:41:22.513851"
"PROGRAMACION","A","A",1,"2024-11-26 16:41:22.513851"
"PROGRAMACION","A","A",2,"2024-11-26 16:41:22.516463"
"PROGRAMACION","AC","AC",3,"2024-11-26 16:41:22.516463"
"PROGRAMACION","AC","AC",4,"2024-11-26 16:41:22.521127"
"PROGRAMACION","AC","AC",5,"2024-11-26 16:41:22.522184"
"PROGRAMACION","AC","AC",6,"2024-11-26 16:41:22.522184"
"PROGRAMACION","ACG","ACG",7,"2024-11-26 16:41:22.522184"
"PROGRAMACION","ACG","ACG",8,"2024-11-26 16:41:22.522184"
"PROGRAMACION","ACGI","ACGI",9,"2024-11-26 16:41:22.522184"
"PROGRAMACION","ACGI","ACGI",10,"2024-11-26 16:41:22.522184"
"PROGRAMACION","ACGI","ACGI",11,"2024-11-26 16:41:22.530264"
"PROGRAMACION","ACGI","ACGI",12,"2024-11-26 16:41:22.530264"
"PROGRAMACION","ACGIM","ACGIM",13,"2024-11-26 16:41:22.533563"
"PROGRAMACION","ACGIMN","ACGIMN",14,"2024-11-26 16:41:22.534248"
"PROGRAMACION","ACGIMNO","ACGIMNO",15,"2024-11-26 16:41:22.538202"
"PROGRAMACION","ACGIMNOP","ACGIMNOP",16,"2024-11-26 16:41:22.538202"
"PROGRAMACION","ACGIMNOP","ACGIMNOP",17,"2024-11-26 16:41:22.538202"
"ORDENADOR","A","A",1,"2024-11-26 16:41:22.538202"
"ORDENADOR","A","A",2,"2024-11-26 16:41:22.538202"
"ORDENADOR","A","A",3,"2024-11-26 16:41:22.546567"
"ORDENADOR","AD","AD",4,"2024-11-26 16:41:22.546567"
"ORDENADOR","ADE","ADE",5,"2024-11-26 16:41:22.550684"
"ORDENADOR","ADE","ADE",6,"2024-11-26 16:41:22.55165"
"ORDENADOR","ADE","ADE",7,"2024-11-26 16:41:22.554705"
"ORDENADOR","ADE","ADE",8,"2024-11-26 16:41:22.554705"
"ORDENADOR","ADE","ADE",9,"2024-11-26 16:41:22.554705"
"ORDENADOR","ADE","ADE",10,"2024-11-26 16:41:22.554705"
"ORDENADOR","ADE","ADE",11,"2024-11-26 16:41:22.554705"
"ORDENADOR","ADE","ADE",12,"2024-11-26 16:41:22.562824"
"ORDENADOR","ADE","ADE",13,"2024-11-26 16:41:22.562824"
"ORDENADOR","ADEN","ADEN",14,"2024-11-26 16:41:22.562824"
"ORDENADOR","ADENO","ADENO",15,"2024-11-26 16:41:22.568183"
"ORDENADOR","ADENO","ADENO",16,"2024-11-26 16:41:22.570134"
"ORDENADOR","ADENO","ADENO",17,"2024-11-26 16:41:22.57125"
