ZIP,propertyType,propertyGlobalType,bedrooms,bathrooms,sizeSqFeetMax,pricePerSqFoot(k),price(M)
N2,House,House,8.0,8.0,16749.0,1.49,24.95
W1J,House,House,7.0,7.0,12960.0,2.28,29.5
SW1W,Terraced,House,6.0,6.0,6952.0,3.6,25.0
N2,Detached,House,6.0,6.0,16749.0,1.49,24.95
NW8,Detached,House,8.0,10.0,10241.0,2.44,24.95
SW1X,House,House,6.0,5.0,6773.0,3.69,25.0
NW8,House,House,5.0,5.0,7631.0,3.28,25.0
NW1,Terraced,House,6.0,6.0,9213.0,2.71,25.0
SW1W,Terraced,House,6.0,7.0,6007.0,4.16,25.0
SW1X,Apartment,Flat,3.0,3.0,4004.0,6.24,25.0
SW1X,Terraced,House,10.0,9.0,12643.0,1.98,25.0
SW1W,House,House,6.0,7.0,6007.0,4.16,25.0
SW1X,Penthouse,Flat,6.0,6.0,6214.0,4.26,26.5
SW1X,Flat,Flat,6.0,4.0,6214.0,4.26,26.5
SW1W,House,House,5.0,6.0,7396.0,3.79,28.0
W1J,Terraced,House,7.0,5.0,12831.0,2.3,29.5
SW1W,Terraced,House,4.0,6.0,7396.0,3.79,28.0
W1J,House,House,7.0,7.0,12960.0,2.28,29.5
TW1,Detached,House,9.0,12.0,18837.0,1.59,29.95
W1J,House,House,6.0,6.0,15608.0,1.92,29.95
SW1X,Terraced,House,6.0,7.0,7798.0,3.84,29.975
NW8,Detached,House,8.0,3.0,5585.0,5.37,30.0
SW10,House,House,7.0,7.0,8304.0,3.61,30.0
N6,Detached,House,10.0,9.0,18238.0,1.75,32.0
W11,Detached,House,8.0,8.0,11803.0,2.54,30.0
W11,Detached,House,8.0,8.0,11803.0,2.54,30.0
SW1X,Terraced,House,8.0,8.0,9049.0,4.2,38.0
SW1E,Terraced,House,9.0,9.0,15845.0,2.84,45.0
SW1W,House,House,6.0,6.0,13067.0,3.6,47.0
W1B,Terraced,House,10.0,10.0,20987.0,3.1,65.0
SW1A,Apartment,Flat,3.0,3.0,2935.0,6.8,19.95
W1K,House,House,6.0,6.0,5780.0,3.16,18.25
SW7,Flat,Flat,5.0,6.0,6640.0,2.79,18.5
SW1A,Apartment,Flat,4.0,5.0,3329.0,5.56,18.5
SW1X,House,House,5.0,7.0,4639.0,4.05,18.8
NW1,Terraced,House,7.0,6.0,6103.0,3.11,18.95
NW1,House,House,7.0,6.0,5027.0,3.77,18.95
NW3,Detached,House,7.0,7.0,9327.0,2.03,18.95
NW1,Terraced,House,7.0,6.0,6103.0,3.11,18.95
NW1,House,House,7.0,7.0,6103.0,3.11,18.95
N6,Detached,House,6.0,3.0,9858.0,1.98,19.5
W1H,Apartment,Flat,4.0,4.0,2923.0,6.5,19.0
SW3,Penthouse,Flat,4.0,4.0,3229.0,6.04,19.5
NW1,Terraced,House,7.0,6.0,7728.0,2.56,19.75
W8,House,House,5.0,4.0,5098.0,4.31,21.95
W14,House,House,7.0,7.0,7244.0,3.04,22.0
NW1,House,House,6.0,6.0,6730.0,3.34,22.5
SW1X,Penthouse,Flat,5.0,5.0,4944.0,4.55,22.5
SW1X,Apartment,Flat,5.0,4.0,4944.0,4.55,22.5
SW1X,House,House,6.0,6.0,6650.0,3.38,22.5
"Pembroke Gardens,London,W8",Detached,House,7.0,6.0,12415.0,1.85,22.95
W14,Terraced,House,7.0,5.0,8425.0,2.73,23.0
W14,Terraced,House,6.0,4.0,7550.0,3.11,23.5
W8,Apartment,Flat,4.0,4.0,4390.0,5.35,23.5
W1K,Terraced,House,6.0,6.0,8060.0,2.97,23.95
W9,Detached,House,8.0,5.0,8178.0,2.93,24.0
NW3,House,House,7.0,8.0,7860.0,3.05,24.0
W8,Flat,Flat,5.0,5.0,5461.0,4.39,24.0
N2,Detached,House,6.0,9.0,16748.0,1.49,24.95
EC1V,Apartment,Flat,3.0,3.0,1461.0,1.44,2.1
SW1X,Apartment,Flat,5.0,4.0,6404.0,3.12,19.95
NW3,Detached,House,4.0,6.0,6261.0,3.19,19.95
N2,Penthouse,Flat,5.0,6.0,9677.0,2.06,19.95
SW1X,Flat,Flat,5.0,5.0,6705.0,2.98,19.95
N2,Penthouse,Flat,5.0,6.0,9677.0,2.06,19.95
SW1X,Apartment,Flat,5.0,4.0,6705.0,2.98,19.95
W1J,Terraced,House,10.0,10.0,4852.0,4.12,20.0
NW1,House,House,7.0,5.0,10370.0,1.93,20.0
NW1,Detached,House,5.0,6.0,10370.0,1.93,20.0
W1K,Apartment,Flat,4.0,4.0,4497.0,4.45,20.0
SW1X,Penthouse,Flat,8.0,4.0,6000.0,3.5,20.995
W14,Detached,House,6.0,5.0,9262.0,2.32,21.5
W1K,Apartment,Flat,6.0,6.0,3931.0,4.07,16.0
NW8,House,House,10.0,7.0,7065.0,2.41,17.0
W9,Detached,House,5.0,5.0,5600.0,3.12,17.5
E20,Apartment,Flat,3.0,3.0,4615.0,3.79,17.5
W8,Apartment,Flat,5.0,6.0,5693.0,3.07,17.5
W14,Detached,House,12.0,6.0,6497.0,2.69,17.5
W8,Penthouse,Flat,3.0,3.0,2976.0,5.88,17.5
SW1X,Apartment,Flat,7.0,7.0,8400.0,2.08,17.5
W8,Penthouse,Flat,3.0,3.0,2976.0,5.95,17.7
SW1X,Terraced,House,6.0,5.0,5564.0,3.23,17.95
W2,Detached,House,6.0,6.0,9472.0,1.9,17.95
SW1W,Flat,Flat,4.0,3.0,5499.0,3.24,17.8
W2,Detached,House,6.0,6.0,9561.0,1.88,17.95
W1K,Flat,Flat,8.0,6.0,5149.0,3.5,18.0
NW7,Detached,House,4.0,3.0,2238.0,0.83,1.85
W1K,Flat,Flat,7.0,6.0,5231.0,3.44,18.0
W1J,House,House,8.0,8.0,6873.0,2.33,16.0
W11,House,House,6.0,6.0,4671.0,3.43,16.0
W8,Apartment,Flat,4.0,4.0,3566.0,4.49,16.0
SW7,Penthouse,Flat,8.0,8.0,9075.0,1.76,16.0
SW1W,Terraced,House,3.0,4.0,4724.0,3.39,16.0
SW1X,Flat,Flat,4.0,4.0,3551.0,4.58,16.25
SW1X,Apartment,Flat,4.0,4.0,3551.0,4.58,16.25
NW3,Detached,House,7.0,5.0,6544.0,2.52,16.5
SW1X,Terraced,House,10.0,12.0,7656.0,2.16,16.5
SW1W,Terraced,House,5.0,5.0,6396.0,2.62,16.75
SW1X,Terraced,House,10.0,10.0,7656.0,2.16,16.5
SW1W,House,House,5.0,4.0,6026.0,2.78,16.75
NW3,Detached,House,11.0,9.0,6071.0,2.79,16.95
SW3,Terraced,House,5.0,5.0,6504.0,2.61,16.95
NW1,Terraced,House,6.0,7.0,4844.0,3.5,16.95
NW3,Detached,House,10.0,10.0,6071.0,2.79,16.95
N10,Apartment,Flat,2.0,1.0,900.0,0.81,0.725
NW8,Detached,House,6.0,6.0,10041.0,1.44,14.5
N2,Detached,House,6.0,7.0,10086.0,1.54,15.5
SW1W,Terraced,House,6.0,7.0,4660.0,2.95,13.75
SW1W,Apartment,Flat,3.0,3.0,2524.0,5.45,13.75
SW10,House,House,5.0,3.0,4112.0,3.37,13.85
SW10,Terraced,House,6.0,3.0,4112.0,3.37,13.85
SW3,House,House,8.0,6.0,7212.0,1.93,13.95
W1S,Flat,Flat,3.0,4.0,2680.0,5.21,13.95
W1B,Apartment,Flat,4.0,4.0,4735.0,2.95,13.95
SW1A,Apartment,Flat,3.0,4.0,2618.0,5.33,13.95
W1S,Penthouse,Flat,3.0,3.0,2641.0,5.28,13.95
W11,Detached,House,4.0,5.0,5042.0,2.78,14.0
W1K,Terraced,House,7.0,8.0,6477.0,2.15,13.95
SW1W,Apartment,Flat,3.0,3.0,2679.0,5.23,14.0
SW7,House,House,5.0,3.0,4676.0,2.99,14.0
W2,Penthouse,Flat,4.0,5.0,4770.0,2.94,14.0
W11,House,House,4.0,5.0,5042.0,2.78,14.0
W1H,Apartment,Flat,3.0,3.0,2317.0,6.15,14.25
SW1W,Apartment,Flat,3.0,3.0,2645.0,5.29,14.0
W1H,Flat,Flat,3.0,3.0,2314.0,6.16,14.25
WC2N,Penthouse,Flat,4.0,4.0,4372.0,3.32,14.5
SW19,Detached,House,7.0,8.0,11484.0,1.35,15.5
SW19,Detached,House,7.0,8.0,11784.0,1.32,15.5
N2,Detached,House,8.0,8.0,10086.0,1.54,15.5
W1K,Flat,Flat,4.0,4.0,4291.0,3.65,15.65
W1K,Apartment,Flat,4.0,4.0,4535.0,3.45,15.65
W1K,Flat,Flat,4.0,4.0,4469.0,3.5,15.65
SW1X,Apartment,Flat,4.0,4.0,3618.0,4.35,15.75
SW1X,Flat,Flat,4.0,4.0,3618.0,4.35,15.75
St John's Wood NW8,Detached,House,5.0,5.0,6981.0,2.26,15.75
NW8,Detached,House,6.0,5.0,6981.0,2.26,15.75
SW1X,Penthouse,Flat,4.0,4.0,3618.0,4.35,15.75
NW3,Detached,House,7.0,6.0,8117.0,1.97,15.95
W1K,Apartment,Flat,3.0,5.0,2865.0,5.15,14.75
SW1X,Flat,Flat,4.0,4.0,3667.0,4.35,15.95
W8,Apartment,Flat,5.0,4.0,5055.0,2.92,14.75
W8,Apartment,Flat,4.0,3.0,3117.0,4.68,14.6
NW1,Terraced,House,6.0,5.0,6306.0,2.53,15.95
SW7,Terraced,House,6.0,6.0,7483.0,2.13,15.95
Hampstead NW3,House,House,7.0,5.0,7262.0,2.2,15.95
NW8,Detached,House,6.0,6.0,6659.0,2.22,14.8
W1U,Flat,Flat,3.0,3.0,2067.0,7.23,14.95
NW1,Terraced,House,5.0,5.0,6245.0,2.55,15.95
SW16,Detached,House,6.0,4.0,3726.0,0.81,3.0
St John's Wood NW8,Detached,House,6.0,6.0,8635.0,1.73,14.95
NW8,House,House,6.0,6.0,8635.0,1.73,14.95
W1U,Apartment,Flat,3.0,3.0,1959.0,7.63,14.95
N2,Detached,House,7.0,7.0,11008.0,1.36,15.0
SW1X,Terraced,House,5.0,5.0,5624.0,2.66,14.95
W1K,Terraced,House,5.0,5.0,6073.0,2.47,15.0
South Kensington SW7,Terraced,House,6.0,6.0,6608.0,2.27,15.0
W2,Apartment,Flat,3.0,3.0,2726.0,5.5,15.0
W2,Apartment,Flat,3.0,2.0,2727.0,5.5,15.0
SW7,Terraced,House,6.0,6.0,6365.0,2.36,15.0
SW1A,Penthouse,Flat,3.0,4.0,3001.0,4.5,13.5
SW1X,Flat,Flat,4.0,4.0,5910.0,2.12,12.5
W1G,Terraced,House,5.0,5.0,4736.0,2.64,12.5
SW1A,Penthouse,Flat,3.0,3.0,2316.0,5.46,12.65
W1K,Flat,Flat,1.0,1.0,2135.0,5.85,12.5
W1J,Flat,Flat,4.0,4.0,3874.0,3.25,12.6
NW3,House,House,6.0,7.0,11467.0,1.13,12.95
South Kensington SW7,Apartment,Flat,4.0,4.0,5900.0,2.16,12.75
W1K,Apartment,Flat,5.0,4.0,4304.0,3.01,12.95
NW1,House,House,6.0,5.0,6843.0,1.89,12.95
SW3,House,House,5.0,5.0,4500.0,2.88,12.95
SW1W,Apartment,Flat,4.0,4.0,2958.0,4.38,12.95
W8,Penthouse,Flat,5.0,4.0,3637.0,3.56,12.95
SW1X,House,House,5.0,7.0,5002.0,2.59,12.95
SW1W,Apartment,Flat,4.0,4.0,3876.0,3.34,12.95
NW8,Detached,House,6.0,6.0,5579.0,2.32,12.95
NW1,Terraced,House,6.0,5.0,6829.0,1.9,12.95
NW1,House,House,6.0,5.0,6966.0,1.86,12.95
SW6,Penthouse,Flat,7.0,7.0,11941.0,1.09,13.0
SW1E,Apartment,Flat,3.0,4.0,4663.0,2.79,13.0
SE1,Penthouse,Flat,4.0,4.0,3862.0,3.43,13.25
SW3,Terraced,House,4.0,5.0,4500.0,2.88,12.95
SE1,Apartment,Flat,4.0,4.0,3862.0,3.43,13.25
NW8,Detached,House,6.0,5.0,5579.0,2.32,12.95
W1U,Penthouse,Flat,3.0,3.0,1835.0,7.3,13.395
SW1W,Terraced,House,7.0,6.0,5012.0,2.69,13.5
SW1W,Apartment,Flat,3.0,3.0,2958.0,4.56,13.5
SW1W,Terraced,House,8.0,6.0,5012.0,2.69,13.5
SW1A,Penthouse,Flat,3.0,3.0,3001.0,4.5,13.5
WC2R,Penthouse,Flat,4.0,5.0,4643.0,2.91,13.5
N2,Detached,House,6.0,8.0,9806.0,1.38,13.5
N2,Detached,House,7.0,4.0,5246.0,2.57,13.5
N2,Detached,House,7.0,8.0,10333.0,1.31,13.5
WC2R,Apartment,Flat,4.0,4.0,4643.0,2.91,13.5
N2,Detached,House,6.0,8.0,9806.0,1.38,13.5
NW11,Detached,House,7.0,10.0,9300.0,1.18,11.0
NW3,Detached,House,6.0,4.0,4355.0,2.51,10.95
NW1,Terraced,House,4.0,3.0,4619.0,2.37,10.95
SW1X,Terraced,House,4.0,4.0,3300.0,3.33,10.99
SW1X,Apartment,Flat,3.0,3.0,2442.0,4.48,10.95
NW8,Flat,Flat,4.0,4.0,3423.0,3.21,11.0
W1K,Flat,Flat,4.0,5.0,2703.0,4.07,11.0
SW1X,Flat,Flat,5.0,5.0,4558.0,2.41,11.0
NW8,Penthouse,Flat,4.0,3.0,3617.0,3.04,11.0
SW1X,Apartment,Flat,5.0,4.0,4649.0,2.37,11.0
SW3,Terraced,House,5.0,5.0,5440.0,2.2,11.95
SW3,Terraced,House,6.0,4.0,5212.0,2.29,11.95
W2,Terraced,House,10.0,8.0,11265.0,0.98,11.0
W8,Terraced,House,6.0,3.0,4182.0,2.75,11.5
NW3,Detached,House,6.0,7.0,5517.0,2.17,11.95
SE13,Detached,House,6.0,5.0,8488.0,1.35,11.5
W1W,Penthouse,Flat,4.0,4.0,3176.0,3.46,11.0
SW1W,Apartment,Flat,4.0,3.0,3887.0,2.96,11.5
NW3,Terraced,House,5.0,5.0,8262.0,1.45,11.95
W8,House,House,6.0,6.0,4182.0,2.75,11.5
W8,Apartment,Flat,3.0,3.0,2257.0,4.96,11.2
SE1,Apartment,Flat,3.0,3.0,3100.0,3.85,11.95
SW1X,Terraced,House,4.0,5.0,4122.0,2.73,11.25
SW1W,House,House,4.0,4.0,3310.0,3.47,11.5
NW3,Detached,House,5.0,5.0,8262.0,1.45,11.95
SE1,Penthouse,Flat,4.0,4.0,4096.0,2.81,11.5
N2,Detached,House,9.0,8.0,14769.0,0.81,11.95
W2,Apartment,Flat,3.0,3.0,2327.0,4.83,11.25
SE1,Penthouse,Flat,3.0,3.0,3107.0,3.85,11.95
W1K,Terraced,House,5.0,5.0,3927.0,2.86,11.25
SW1X,Terraced,House,5.0,5.0,4122.0,2.73,11.25
SW3,Terraced,House,5.0,4.0,4354.0,2.75,11.995
W1J,Terraced,House,4.0,5.0,5017.0,2.39,12.0
SW1X,Penthouse,Flat,4.0,3.0,3013.0,3.82,11.5
W1K,House,House,4.0,4.0,3834.0,2.93,11.25
SW1E,Apartment,Flat,3.0,3.0,5189.0,2.31,12.0
SW1E,Apartment,Flat,3.0,4.0,3829.0,3.0,11.5
EC1V,Penthouse,Flat,5.0,5.0,7800.0,1.54,12.0
SW1W,Terraced,House,4.0,3.0,3310.0,3.47,11.5
SE1,Apartment,Flat,5.0,4.0,4095.0,2.83,11.59
W2,Apartment,Flat,3.0,3.0,2319.0,5.07,11.75
N2,Apartment,Flat,7.0,7.0,7468.0,1.57,11.7
SW19,Detached,House,7.0,7.0,9031.0,1.33,12.0
SW1X,Flat,Flat,3.0,3.0,3084.0,3.82,11.795
W2,Flat,Flat,4.0,5.0,3634.0,3.3,12.0
W2,Apartment,Flat,3.0,3.0,2351.0,5.0,11.75
NW1,Terraced,House,5.0,4.0,4425.0,2.71,12.0
SW1W,Terraced,House,6.0,4.0,3911.0,3.04,11.9
N2,Detached,House,8.0,10.0,11224.0,1.09,12.25
W2,Apartment,Flat,3.0,3.0,3123.0,4.0,12.5
SW3,House,House,6.0,4.0,5188.0,2.3,11.95
SW10,Flat,Flat,9.0,8.0,5114.0,2.44,12.5
SW15,Detached,House,8.0,8.0,12141.0,1.03,12.5
W1K,Apartment,Flat,3.0,3.0,1477.0,2.67,3.95
E14,Flat,Flat,2.0,2.0,734.0,0.85,0.625
SW8,Flat,Flat,5.0,5.0,3664.0,2.93,10.747
SW7,Apartment,Flat,4.0,4.0,3324.0,3.01,10.0
W8,House,House,6.0,5.0,4376.0,2.29,10.0
SW1P,Terraced,House,10.0,7.0,7842.0,1.28,10.0
SW8,Apartment,Flat,5.0,4.0,3483.0,2.91,10.13
Nine Elms SW8,Apartment,Flat,4.0,5.0,3354.0,3.02,10.13
SW8,Apartment,Flat,5.0,5.0,3553.0,2.85,10.13
SW8,Flat,Flat,5.0,5.0,3449.0,3.12,10.747
W8,Terraced,House,6.0,5.0,4151.0,2.59,10.75
SW7,Apartment,Flat,4.0,5.0,3580.0,3.0,10.75
SW1X,Apartment,Flat,3.0,3.0,2475.0,4.34,10.75
St John's Wood NW8,Terraced,House,5.0,4.0,6025.0,1.78,10.75
SW1X,Flat,Flat,3.0,3.0,3567.0,2.87,10.25
Chelsea SW3,Terraced,House,5.0,3.0,4211.0,2.43,10.25
SW1X,Apartment,Flat,5.0,5.0,2475.0,4.34,10.75
SW1X,Apartment,Flat,3.0,4.0,3137.0,3.27,10.25
SW1X,Apartment,Flat,3.0,3.0,2475.0,4.34,10.75
SW1W,Terraced,House,7.0,4.0,4332.0,2.5,10.85
SW1X,Apartment,Flat,3.0,3.0,3166.0,3.24,10.25
W1J,Terraced,House,8.0,5.0,4180.0,2.51,10.5
W8,Terraced,House,5.0,5.0,5314.0,1.98,10.5
SW7,Terraced,House,7.0,7.0,5280.0,2.07,10.95
SW3,Detached,House,8.0,6.0,3534.0,3.1,10.95
Kensington W8,House,House,6.0,5.0,6459.0,1.7,10.95
W2,Apartment,Flat,3.0,3.0,2325.0,4.52,10.5
W1J,Terraced,House,4.0,4.0,3169.0,3.46,10.95
SW1X,Terraced,House,6.0,6.0,5360.0,1.96,10.5
NW3,Detached,House,8.0,5.0,5649.0,1.94,10.95
W1J,Terraced,House,4.0,4.0,3169.0,3.46,10.95
SW1X,Terraced,House,5.0,4.0,4752.0,2.3,10.95
NW1,Terraced,House,4.0,3.0,4619.0,2.37,10.95
SW1X,Apartment,Flat,3.0,3.0,2442.0,4.48,10.95
W2,Apartment,Flat,3.0,3.0,2325.0,4.52,10.5
W1K,Penthouse,Flat,3.0,3.0,2410.0,4.36,10.5
SW7,Terraced,House,7.0,7.0,5276.0,2.08,10.95
SW1X,Apartment,Flat,3.0,3.0,2442.0,4.48,10.95
NW3,Detached,House,6.0,3.0,4355.0,2.51,10.95
SW8,Apartment,Flat,5.0,6.0,3114.0,3.45,10.747
N2,Detached,House,5.0,5.0,8776.0,1.25,10.95
SW17,House,House,3.0,1.0,911.0,0.87,0.795
E14,Flat,Flat,2.0,2.0,915.0,0.57,0.525
W11,House,House,4.0,5.0,3501.0,3.13,10.95
NW1,Terraced,House,4.0,4.0,4629.0,2.15,9.95
W8,Terraced,House,5.0,6.0,4032.0,2.42,9.75
SW15,Detached,House,8.0,7.0,11609.0,0.84,9.75
London SW1W,Flat,Flat,4.0,4.0,3698.0,2.64,9.75
W8,Terraced,House,6.0,6.0,4032.0,2.42,9.75
EC2A,Flat,Flat,3.0,4.0,2855.0,3.47,9.9
EC2A,Flat,Flat,3.0,4.0,2855.0,3.47,9.9
EC2A,Flat,Flat,2.0,2.0,2855.0,3.47,9.9
EC2A,Penthouse,Flat,4.0,4.0,2855.0,3.47,9.9
N6,Detached,House,7.0,7.0,6228.0,1.6,9.95
EC2A,Penthouse,Flat,3.0,3.0,2855.0,3.47,9.9
N6,Detached,House,7.0,6.0,5522.0,1.8,9.95
W2,Apartment,Flat,3.0,4.0,1959.0,5.08,9.95
EC2A,Penthouse,Flat,3.0,3.0,2855.0,3.47,9.9
EC2A,Penthouse,Flat,3.0,3.0,2850.0,3.47,9.9
TW7,Detached,House,8.0,7.0,10283.0,0.97,9.95
NW8,Penthouse,Flat,5.0,5.0,4765.0,2.09,9.95
EC2A,Flat,Flat,3.0,3.0,2855.0,3.47,9.9
EC2A,Penthouse,Flat,3.0,4.0,1373.0,7.21,9.9
W2,Apartment,Flat,3.0,3.0,1963.0,5.07,9.95
W9,House,House,5.0,4.0,4079.0,2.44,9.95
EC2A,Flat,Flat,3.0,3.0,2855.0,3.47,9.9
EC2A,Flat,Flat,3.0,3.0,2855.0,3.47,9.9
EC2A,Apartment,Flat,2.0,2.0,2885.0,3.43,9.9
NW1,House,House,5.0,4.0,4185.0,2.38,9.95
SW1E,Penthouse,Flat,5.0,4.0,3420.0,2.91,9.95
NW1,Terraced,House,5.0,5.0,4185.0,2.38,9.95
SW1E,Penthouse,Flat,4.0,4.0,3467.0,2.87,9.95
NW8,Apartment,Flat,5.0,5.0,4765.0,2.09,9.95
NW8,House,House,6.0,5.0,5479.0,1.82,9.95
W11,House,House,5.0,4.0,4261.0,2.34,9.95
SW7,House,House,12.0,8.0,8791.0,1.13,9.975
NW3,Detached,House,6.0,6.0,7288.0,1.37,9.995
SW1A,Apartment,Flat,2.0,2.0,1999.0,5.0,10.0
SW19,Detached,House,6.0,6.0,6065.0,1.65,10.0
W1K,Apartment,Flat,3.0,3.0,2558.0,3.91,10.0
SE1,Flat,Flat,5.0,5.0,4943.0,2.02,10.0
SE21,Detached,House,6.0,6.0,7847.0,1.27,10.0
SW7,Apartment,Flat,4.0,3.0,2736.0,3.65,10.0
SW8,Apartment,Flat,5.0,4.0,3483.0,2.87,10.0
SW8,Penthouse,Flat,5.0,4.0,3179.0,3.15,10.0
W8,Terraced,House,6.0,5.0,4401.0,2.27,10.0
W8,Terraced,House,6.0,5.0,4401.0,2.27,10.0
SW3,Terraced,House,5.0,5.0,2924.0,3.42,10.0
SW7,Flat,Flat,4.0,4.0,3324.0,3.01,10.0
N2,Penthouse,Flat,4.0,5.0,6015.0,1.66,10.0
SW8,Penthouse,Flat,5.0,5.0,3483.0,2.76,9.601
W9,House,House,2.0,2.0,3606.0,2.57,9.25
SW3,House,House,4.0,3.0,2944.0,3.14,9.25
W11,Flat,Flat,3.0,3.0,3165.0,2.92,9.25
NW8,House,House,6.0,7.0,5277.0,1.77,9.35
NW8,House,House,6.0,7.0,5092.0,1.84,9.35
SW1W,Penthouse,Flat,3.0,3.0,2425.0,3.9,9.45
SW1W,Penthouse,Flat,3.0,3.0,2424.0,3.9,9.45
SW1W,Flat,Flat,3.0,3.0,2424.0,3.9,9.45
NW8,House,House,6.0,4.0,5070.0,1.87,9.5
NW3,Detached,House,7.0,5.0,4817.0,1.97,9.5
NW1,Terraced,House,6.0,4.0,3303.0,2.88,9.5
EC2A,Apartment,Flat,3.0,3.0,2855.0,3.33,9.5
NW3,Detached,House,7.0,4.0,4817.0,1.97,9.5
SW3,House,House,4.0,4.0,5450.0,1.74,9.5
SW1W,Apartment,Flat,4.0,4.0,3443.0,2.76,9.5
EC2A,Flat,Flat,3.0,3.0,2852.0,3.33,9.5
NW8,House,House,5.0,4.0,4610.0,2.06,9.5
SW1W,Flat,Flat,4.0,4.0,3491.0,2.72,9.5
SW1W,Apartment,Flat,4.0,4.0,3490.0,2.72,9.5
SW3,House,House,4.0,4.0,5450.0,1.74,9.5
W8,Terraced,House,5.0,3.0,4747.0,2.0,9.5
EC2A,Penthouse,Flat,3.0,4.0,2855.0,3.33,9.5
SW8,Penthouse,Flat,5.0,4.0,3179.0,3.02,9.601
SW8,Apartment,Flat,5.0,5.0,3114.0,3.08,9.601
