product.partNumber,location.locationIdentifier,inventoryType,quantity,quantityUnits,value,valueCurrency,reservationOrders,daysOfSupply,shelfLife,reorderLevel,expectedLeadTime,quantityUpperThreshold,quantityLowerThreshold,daysOfSupplyUpperThreshold,daysOfSupplyLowerThreshold,expiringThreshold,plannerCode,velocityCode,inventoryParentType,class,segment
PS-SL-A287,LT-1,PRODUCT,25,EA,31250.00,USD,2,19,365,50,30,100,10,30,10,,Street Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-SL-A288,LT-1,PRODUCT,20,EA,25000.00,USD,2,35,365,50,30,100,10,30,10,,Street Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-SL-H309,LT-1,PRODUCT,3,EA,3750.00,USD,2,14,365,50,30,100,10,30,10,,Street Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-SL-H310,LT-1,PRODUCT,35,EA,43750.00,USD,2,16,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-F342,LT-1,PRODUCT,43,EA,53750.00,USD,2,42,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-F343,LT-1,PRODUCT,49,EA,61250.00,USD,2,41,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-F344,LT-1,PRODUCT,7,EA,8750.00,USD,2,3,365,50,30,100,10,30,10,,Street Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-SL-F345,LT-1,PRODUCT,40,EA,50000.00,USD,2,27,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-B122,LT-1,PRODUCT,16,EA,20000.00,USD,2,40,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-A123,LT-1,PRODUCT,15,EA,18750.00,USD,2,2,365,50,30,100,10,30,10,,Street Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-SL-C280,LT-1,PRODUCT,42,EA,52500.00,USD,2,10,365,50,30,100,10,30,10,,Street Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-SL-C193,LT-1,PRODUCT,49,EA,61250.00,USD,2,55,365,50,30,100,10,30,10,,Street Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-SL-L327,LT-1,PRODUCT,30,EA,37500.00,USD,2,37,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-L393,LT-1,PRODUCT,4,EA,5000.00,USD,2,52,365,50,30,100,10,30,10,,Street Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-C295,LT-1,PRODUCT,2,EA,2500.00,USD,2,26,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-C167,LT-1,PRODUCT,15,EA,18750.00,USD,2,59,365,50,30,100,10,30,10,,Pedestrian Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-PL-S459,LT-1,PRODUCT,40,EA,50000.00,USD,2,3,365,50,30,100,10,30,10,,Pedestrian Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-PL-S236,LT-1,PRODUCT,29,EA,36250.00,USD,2,6,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-F206,LT-1,PRODUCT,16,EA,20000.00,USD,2,30,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-F158,LT-1,PRODUCT,8,EA,10000.00,USD,2,26,365,50,30,100,10,30,10,,Pedestrian Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-PL-F242,LT-1,PRODUCT,6,EA,7500.00,USD,2,49,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-F388,LT-1,PRODUCT,0,EA,0.00,USD,2,3,365,50,30,100,10,30,10,,Pedestrian Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-PL-W140,LT-1,PRODUCT,11,EA,13750.00,USD,2,25,365,50,30,100,10,30,10,,Pedestrian Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-PL-W381,LT-1,PRODUCT,18,EA,22500.00,USD,2,42,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-R186,LT-1,PRODUCT,39,EA,48750.00,USD,2,31,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-TS-T264,LT-1,PRODUCT,36,EA,52200.00,USD,2,32,365,50,30,100,10,30,10,,Traffic Signal Poles,C,ONHAND,NEW,INDUSTRIAL
PS-TS-A318,LT-1,PRODUCT,14,EA,20300.00,USD,2,18,365,50,30,100,10,30,10,,Traffic Signal Poles,C,ONHAND,NEW,INDUSTRIAL
CO-CO-V310,LT-1,PRODUCT,121,EA,12100.00,USD,2,34,365,50,30,250,10,30,10,,Controls,B,ONHAND,NEW,INDUSTRIAL
CO-CO-N311,LT-1,PRODUCT,124,EA,31000.00,USD,2,57,365,50,30,100,10,30,10,,Controls,A,ONHAND,NEW,INDUSTRIAL
CO-CO-M328,LT-1,PRODUCT,214,EA,26750.00,USD,2,15,365,50,30,100,10,30,10,,Controls,A,ONHAND,NEW,INDUSTRIAL
CO-DL-T316,LT-1,PRODUCT,50,EA,2750.00,USD,2,49,365,50,30,100,10,30,10,,Downlights,B,ONHAND,NEW,INDUSTRIAL
CO-DL-A239,LT-1,PRODUCT,103,EA,4944.00,USD,2,39,365,50,30,100,10,30,10,,Downlights,B,ONHAND,NEW,INDUSTRIAL
CO-DL-A230,LT-1,PRODUCT,148,EA,7548.00,USD,2,25,365,50,30,100,10,30,10,,Downlights,B,ONHAND,NEW,INDUSTRIAL
CO-RD-I380,LT-1,PRODUCT,168,EA,13104.00,USD,2,18,365,50,30,100,10,30,10,,Retrofit Downlights,C,ONHAND,NEW,INDUSTRIAL
CO-RD-S282,LT-1,PRODUCT,352,EA,30976.00,USD,2,40,365,50,30,100,10,30,10,,Retrofit Downlights,B,ONHAND,NEW,INDUSTRIAL
CO-RD-R296,LT-1,PRODUCT,162,EA,15066.00,USD,2,36,365,50,30,100,10,30,10,,Retrofit Downlights,A,ONHAND,NEW,INDUSTRIAL
CO-AM-B209,LT-1,PRODUCT,88,EA,10560.00,USD,2,12,365,50,30,100,10,30,10,,Ambient,A,ONHAND,NEW,INDUSTRIAL
CO-AM-S185,LT-1,PRODUCT,242,EA,69938.00,USD,2,50,365,50,30,100,10,30,10,,Ambient,B,ONHAND,NEW,INDUSTRIAL
CO-AM-S393,LT-1,PRODUCT,89,EA,16287.00,USD,2,56,365,50,30,100,10,30,10,,Ambient,C,ONHAND,NEW,INDUSTRIAL
PS-SL-A287,LT-2,PRODUCT,47,EA,58750.00,USD,2,58,365,50,30,100,10,30,10,,Street Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-SL-A288,LT-2,PRODUCT,45,EA,56250.00,USD,2,41,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-H309,LT-2,PRODUCT,35,EA,43750.00,USD,2,2,365,50,30,100,10,30,10,,Street Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-SL-H310,LT-2,PRODUCT,19,EA,23750.00,USD,2,29,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-F342,LT-2,PRODUCT,34,EA,42500.00,USD,2,56,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-F343,LT-2,PRODUCT,43,EA,53750.00,USD,2,53,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-F344,LT-2,PRODUCT,10,EA,12500.00,USD,2,19,365,50,30,100,10,30,10,,Street Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-SL-F345,LT-2,PRODUCT,33,EA,41250.00,USD,2,56,365,50,30,100,10,30,10,,Street Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-SL-B122,LT-2,PRODUCT,32,EA,40000.00,USD,2,22,365,50,30,100,10,30,10,,Street Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-SL-A123,LT-2,PRODUCT,31,EA,38750.00,USD,2,11,365,50,30,100,10,30,10,,Street Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-SL-C280,LT-2,PRODUCT,2,EA,2500.00,USD,2,56,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-C193,LT-2,PRODUCT,41,EA,51250.00,USD,2,32,365,50,30,100,10,30,10,,Street Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-SL-L327,LT-2,PRODUCT,0,EA,0.00,USD,2,46,365,50,30,100,10,30,10,,Street Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-SL-L393,LT-2,PRODUCT,15,EA,18750.00,USD,2,23,365,50,30,100,10,30,10,,Street Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-PL-C295,LT-2,PRODUCT,44,EA,55000.00,USD,2,19,365,50,30,100,10,30,10,,Pedestrian Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-PL-C167,LT-2,PRODUCT,41,EA,51250.00,USD,2,44,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-S459,LT-2,PRODUCT,39,EA,48750.00,USD,2,34,365,50,30,100,10,30,10,,Pedestrian Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-PL-S236,LT-2,PRODUCT,23,EA,28750.00,USD,2,12,365,50,30,100,10,30,10,,Pedestrian Lighting,C,ONHAND,NEW,INDUSTRIAL
PS-PL-F206,LT-2,PRODUCT,38,EA,47500.00,USD,2,47,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-F158,LT-2,PRODUCT,39,EA,48750.00,USD,2,45,365,50,30,100,10,30,10,,Pedestrian Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-PL-F242,LT-2,PRODUCT,6,EA,7500.00,USD,2,39,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-F388,LT-2,PRODUCT,32,EA,40000.00,USD,2,13,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-W140,LT-2,PRODUCT,40,EA,50000.00,USD,2,39,365,50,30,100,10,30,10,,Pedestrian Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-PL-W381,LT-2,PRODUCT,16,EA,20000.00,USD,2,43,365,50,30,100,10,30,10,,Pedestrian Lighting,B,ONHAND,NEW,INDUSTRIAL
PS-PL-R186,LT-2,PRODUCT,38,EA,47500.00,USD,2,20,365,50,30,100,10,30,10,,Pedestrian Lighting,A,ONHAND,NEW,INDUSTRIAL
PS-TS-T264,LT-2,PRODUCT,45,EA,65250.00,USD,2,37,365,50,30,100,10,30,10,,Traffic Signal Poles,A,ONHAND,NEW,INDUSTRIAL
PS-TS-A318,LT-2,PRODUCT,7,EA,10150.00,USD,2,58,365,50,30,100,10,30,10,,Traffic Signal Poles,C,ONHAND,NEW,INDUSTRIAL
CO-CO-V310,LT-2,PRODUCT,59,EA,5900.00,USD,2,2,365,50,30,100,10,30,10,,Controls,C,ONHAND,NEW,INDUSTRIAL
CO-CO-N311,LT-2,PRODUCT,256,EA,64000.00,USD,2,38,365,50,30,400,100,30,10,,Controls,A,ONHAND,NEW,INDUSTRIAL
CO-CO-M328,LT-2,PRODUCT,230,EA,28750.00,USD,2,47,365,50,30,400,100,30,10,,Controls,B,ONHAND,NEW,INDUSTRIAL
CO-DL-T316,LT-2,PRODUCT,270,EA,14850.00,USD,2,33,365,50,30,400,100,30,10,,Downlights,B,ONHAND,NEW,INDUSTRIAL
CO-DL-A239,LT-2,PRODUCT,222,EA,10656.00,USD,2,48,365,50,30,400,100,30,10,,Downlights,B,ONHAND,NEW,INDUSTRIAL
CO-DL-A230,LT-2,PRODUCT,125,EA,6375.00,USD,2,36,365,50,30,400,100,30,10,,Downlights,C,ONHAND,NEW,INDUSTRIAL
CO-RD-I380,LT-2,PRODUCT,189,EA,14742.00,USD,2,38,365,50,30,400,100,30,10,,Retrofit Downlights,C,ONHAND,NEW,INDUSTRIAL
CO-RD-S282,LT-2,PRODUCT,388,EA,34144.00,USD,2,15,365,50,30,400,100,30,10,,Retrofit Downlights,B,ONHAND,NEW,INDUSTRIAL
CO-RD-R296,LT-2,PRODUCT,125,EA,11625.00,USD,2,40,365,50,30,400,100,30,10,,Retrofit Downlights,A,ONHAND,NEW,INDUSTRIAL
CO-AM-B209,LT-2,PRODUCT,384,EA,46080.00,USD,2,41,365,50,30,400,100,30,10,,Ambient,A,ONHAND,NEW,INDUSTRIAL
CO-AM-S185,LT-2,PRODUCT,303,EA,87567.00,USD,2,17,365,50,30,400,100,30,10,,Ambient,C,ONHAND,NEW,INDUSTRIAL
CO-AM-S393,LT-2,PRODUCT,222,EA,40626.00,USD,2,22,365,50,30,400,100,30,10,,Ambient,C,ONHAND,NEW,INDUSTRIAL
29000462,LT-1,ITEM,195,EA,18525.00,USD,0,20,365,200,15,400,100,30,10,,Bulbs, A ,ONHAND,NEW,
29000469,LT-1,ITEM,322,EA,34776.00,USD,0,13,365,200,15,400,100,30,10,,Bulbs, A ,ONHAND,NEW,
7900128,LT-1,ITEM,66,EA,21120.00,USD,0,18,365,200,15,400,100,30,10,,Controllers, A ,ONHAND,NEW,
82500380,LT-1,ITEM,214,EA,74900.00,USD,0,6,365,200,15,400,100,30,10,,Controllers, A ,ONHAND,NEW,
7900063,LT-1,ITEM,117,EA,5850.00,USD,0,20,365,200,15,400,100,30,10,,Enclosures, A ,ONHAND,NEW,
2510188,LT-1,ITEM,245,EA,100940.00,USD,0,55,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
9665304,LT-1,ITEM,148,EA,62456.00,USD,0,44,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
23000362,LT-1,ITEM,239,EA,108745.00,USD,0,27,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
81028220,LT-1,ITEM,235,EA,28670.00,USD,0,26,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
81603000,LT-1,ITEM,678,EA,37290.00,USD,0,22,365,200,15,400,100,30,10,,High Voltage Electrical, C ,ONHAND,NEW,
81603030,LT-1,ITEM,138,EA,7590.00,USD,0,28,365,200,15,400,100,30,10,,High Voltage Electrical, C ,ONHAND,NEW,
86000121,LT-1,ITEM,113,EA,6215.00,USD,0,15,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
86000123,LT-1,ITEM,522,EA,28710.00,USD,0,56,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
86000124,LT-1,ITEM,327,EA,17985.00,USD,0,11,365,200,15,400,100,30,10,,High Voltage Electrical, B ,ONHAND,NEW,
39000221,LT-1,ITEM,174,EA,33060.00,USD,0,41,365,200,15,400,100,30,10,,Lenses, A ,ONHAND,NEW,
39000224,LT-1,ITEM,222,EA,45066.00,USD,0,59,365,200,15,400,100,30,10,,Lenses, C ,ONHAND,NEW,
2000287,LT-1,ITEM,65,EA,7280.00,USD,0,52,365,200,30,400,100,30,10,,Luminaire, B ,ONHAND,NEW,
8210677,LT-1,ITEM,160,EA,30240.00,USD,0,48,365,200,30,400,100,30,10,,Luminaire, A ,ONHAND,NEW,
9665303,LT-1,ITEM,109,EA,103550.00,USD,0,8,365,200,30,400,100,30,10,,Luminaire, B ,ONHAND,NEW,
45000222,LT-1,ITEM,118,EA,91332.00,USD,0,4,365,200,30,400,100,30,10,,Luminaire, A ,ONHAND,NEW,
7900012,LT-1,ITEM,169,EA,845.00,USD,0,58,365,200,15,400,100,30,10,,Mechanicals, A ,ONHAND,NEW,
7900014,LT-1,ITEM,387,EA,7353.00,USD,0,60,365,200,15,400,100,30,10,,Mechanicals, A ,ONHAND,NEW,
7900015,LT-1,ITEM,155,EA,465.00,USD,0,7,365,200,15,400,100,30,10,,Mechanicals, A ,ONHAND,NEW,
9664144,LT-1,ITEM,37,EA,888.00,USD,0,6,365,200,15,400,100,30,10,,Mechanicals, A ,ONHAND,NEW,
9665306,LT-1,ITEM,233,EA,699.00,USD,0,22,365,200,15,400,100,30,10,,Mechanicals, A ,ONHAND,NEW,
2530003,LT-1,ITEM,214,EA,276060.00,USD,0,42,365,200,30,400,100,30,10,,Primary Chassis, B ,ONHAND,NEW,
2530020,LT-1,ITEM,455,EA,536900.00,USD,0,56,365,200,30,400,100,30,10,,Primary Chassis, B ,ONHAND,NEW,
7903986,LT-1,ITEM,228,EA,225720.00,USD,0,52,365,200,30,400,100,30,10,,Primary Chassis, C ,ONHAND,NEW,
8220072,LT-1,ITEM,44,EA,63888.00,USD,0,53,365,200,30,400,100,30,10,,Primary Chassis, C ,ONHAND,NEW,
83008200,LT-1,ITEM,116,EA,278168.00,USD,0,49,365,200,30,400,100,30,10,,Primary Chassis, B ,ONHAND,NEW,
83008300,LT-1,ITEM,109,EA,500528.00,USD,0,37,365,200,30,400,100,30,10,,Primary Chassis, B ,ONHAND,NEW,
83008400,LT-1,ITEM,177,EA,978810.00,USD,0,5,365,200,30,400,100,30,10,,Primary Chassis, C ,ONHAND,NEW,
89820200,LT-1,ITEM,164,EA,385236.00,USD,0,34,365,200,30,400,100,30,10,,Primary Chassis, C ,ONHAND,NEW,
83600200,LT-1,ITEM,184,EA,236808.00,USD,0,10,365,200,30,400,100,30,10,,Primary Foundation, C ,ONHAND,NEW,
83600300,LT-1,ITEM,288,EA,419328.00,USD,0,49,365,200,30,400,100,30,10,,Primary Foundation, C ,ONHAND,NEW,
9664145,LT-1,ITEM,248,EA,206584.00,USD,0,52,365,200,30,400,100,30,10,,Secondary Chassis, A ,ONHAND,NEW,
9664146,LT-1,ITEM,188,EA,194016.00,USD,0,20,365,200,30,400,100,30,10,,Secondary Chassis, A ,ONHAND,NEW,
9664147,LT-1,ITEM,97,EA,94672.00,USD,0,35,365,200,30,400,100,30,10,,Secondary Chassis, A ,ONHAND,NEW,
29000462,LT-2,ITEM,189,EA,17955.00,USD,0,8,365,200,15,400,100,30,10,,Bulbs, A ,ONHAND,NEW,
29000469,LT-2,ITEM,473,EA,51084.00,USD,0,45,365,200,15,400,100,30,10,,Bulbs, A ,ONHAND,NEW,
7900128,LT-2,ITEM,73,EA,23360.00,USD,0,37,365,200,15,400,100,30,10,,Controllers, A ,ONHAND,NEW,
82500380,LT-2,ITEM,483,EA,169050.00,USD,0,8,365,200,15,400,100,30,10,,Controllers, A ,ONHAND,NEW,
7900063,LT-2,ITEM,397,EA,19850.00,USD,0,10,365,200,15,400,100,30,10,,Enclosures, A ,ONHAND,NEW,
2510188,LT-2,ITEM,511,EA,210532.00,USD,0,43,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
9665304,LT-2,ITEM,304,EA,128288.00,USD,0,6,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
23000362,LT-2,ITEM,425,EA,193375.00,USD,0,54,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
81028220,LT-2,ITEM,196,EA,23912.00,USD,0,2,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
81603000,LT-2,ITEM,489,EA,26895.00,USD,0,3,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
81603030,LT-2,ITEM,221,EA,12155.00,USD,0,59,365,200,15,400,100,30,10,,High Voltage Electrical, C ,ONHAND,NEW,
86000121,LT-2,ITEM,189,EA,10395.00,USD,0,56,365,200,15,400,100,30,10,,High Voltage Electrical, C ,ONHAND,NEW,
86000123,LT-2,ITEM,484,EA,26620.00,USD,0,46,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
86000124,LT-2,ITEM,447,EA,24585.00,USD,0,56,365,200,15,400,100,30,10,,High Voltage Electrical, A ,ONHAND,NEW,
39000221,LT-2,ITEM,184,EA,34960.00,USD,0,13,365,200,15,400,100,30,10,,Lenses, B ,ONHAND,NEW,
39000224,LT-2,ITEM,291,EA,59073.00,USD,0,15,365,200,15,400,100,30,10,,Lenses, A ,ONHAND,NEW,
2000287,LT-2,ITEM,14,EA,1568.00,USD,0,13,365,200,30,400,100,30,10,,Luminaire, C ,ONHAND,NEW,
8210677,LT-2,ITEM,310,EA,58590.00,USD,0,7,365,200,30,400,100,30,10,,Luminaire, B ,ONHAND,NEW,
9665303,LT-2,ITEM,100,EA,95000.00,USD,0,20,365,200,30,400,100,30,10,,Luminaire, A ,ONHAND,NEW,
45000222,LT-2,ITEM,220,EA,170280.00,USD,0,17,365,200,30,400,100,30,10,,Luminaire, B ,ONHAND,NEW,
7900012,LT-2,ITEM,342,EA,1710.00,USD,0,35,365,200,15,400,100,30,10,,Mechanicals, A ,ONHAND,NEW,
7900014,LT-2,ITEM,482,EA,9158.00,USD,0,35,365,200,15,400,100,30,10,,Mechanicals, A ,ONHAND,NEW,
7900015,LT-2,ITEM,176,EA,528.00,USD,0,26,365,200,15,400,100,30,10,,Mechanicals, A ,ONHAND,NEW,
9664144,LT-2,ITEM,548,EA,13152.00,USD,0,56,365,200,15,400,100,30,10,,Mechanicals, A ,ONHAND,NEW,
9665306,LT-2,ITEM,198,EA,594.00,USD,0,13,365,200,15,400,100,30,10,,Mechanicals, A ,ONHAND,NEW,
2530003,LT-2,ITEM,205,EA,264450.00,USD,0,0,365,200,30,400,100,30,10,,Primary Chassis, A ,ONHAND,NEW,
2530020,LT-2,ITEM,536,EA,632480.00,USD,0,10,365,200,30,400,100,30,10,,Primary Chassis, B ,ONHAND,NEW,
7903986,LT-2,ITEM,467,EA,462330.00,USD,0,23,365,200,30,400,100,30,10,,Primary Chassis, B ,ONHAND,NEW,
8220072,LT-2,ITEM,83,EA,120516.00,USD,0,51,365,200,30,400,100,30,10,,Primary Chassis, C ,ONHAND,NEW,
83008200,LT-2,ITEM,167,EA,400466.00,USD,0,10,365,200,30,400,100,30,10,,Primary Chassis, C ,ONHAND,NEW,
83008300,LT-2,ITEM,107,EA,491344.00,USD,0,23,365,200,30,400,100,30,10,,Primary Chassis, B ,ONHAND,NEW,
83008400,LT-2,ITEM,250,EA,1382500.00,USD,0,28,365,200,30,400,100,30,10,,Primary Chassis, B ,ONHAND,NEW,
89820200,LT-2,ITEM,155,EA,364095.00,USD,0,37,365,200,30,400,100,30,10,,Primary Chassis, C ,ONHAND,NEW,
83600200,LT-2,ITEM,118,EA,151866.00,USD,0,41,365,200,30,400,100,30,10,,Primary Foundation, C ,ONHAND,NEW,
83600300,LT-2,ITEM,323,EA,470288.00,USD,0,44,365,200,30,400,100,30,10,,Primary Foundation, C ,ONHAND,NEW,
9664145,LT-2,ITEM,273,EA,227409.00,USD,0,27,365,200,30,400,100,30,10,,Secondary Chassis, C ,ONHAND,NEW,
9664146,LT-2,ITEM,259,EA,267288.00,USD,0,42,365,200,30,400,100,30,10,,Secondary Chassis, A ,ONHAND,NEW,
9664147,LT-2,ITEM,27,EA,26352.00,USD,0,56,365,200,30,400,100,30,10,,Secondary Chassis, A ,ONHAND,NEW,
